  M1  |  M2  |  M   |  T  
   31 |    1 |   31 | 31
   32 |    1 |    2 | 32
   32 |    1 |    4 | 32
   32 |    1 |    8 | 32
   32 |    1 |   16 | 32
   32 |    1 |   32 | 32
   33 |    1 |    3 | 33
   33 |    1 |   11 | 33
   33 |    1 |   33 | 33
   34 |    1 |    2 | 34
   34 |    1 |   17 | 34
   34 |    1 |   34 | 34
   35 |    1 |    5 | 35
   35 |    1 |    7 | 35
   35 |    1 |   35 | 35
   36 |    1 |    2 | 36
   36 |    1 |    3 | 36
   36 |    1 |    4 | 36
   36 |    1 |    6 | 36
   36 |    1 |    9 | 36
   36 |    1 |   12 | 36
   36 |    1 |   18 | 36
   36 |    1 |   36 | 36
   37 |    1 |   37 | 37
   38 |    1 |    2 | 38
   38 |    1 |   19 | 38
   38 |    1 |   38 | 38
   39 |    1 |    3 | 39
   39 |    1 |   13 | 39
   39 |    1 |   39 | 39
   40 |    1 |    2 | 40
   40 |    1 |    4 | 40
   40 |    1 |    5 | 40
   40 |    1 |    8 | 40
   40 |    1 |   10 | 40
   40 |    1 |   20 | 40
   40 |    1 |   40 | 40
   41 |    1 |   41 | 41
   42 |    1 |    2 | 42
   42 |    1 |    3 | 42
   42 |    1 |    6 | 42
   42 |    1 |    7 | 42
   42 |    1 |   14 | 42
   42 |    1 |   21 | 42
   42 |    1 |   42 | 42
   43 |    1 |   43 | 43
   44 |    1 |    2 | 44
   44 |    1 |    4 | 44
   44 |    1 |   11 | 44
   44 |    1 |   22 | 44
   44 |    1 |   44 | 44
   45 |    1 |    3 | 45
   45 |    1 |    5 | 45
   45 |    1 |    9 | 45
   45 |    1 |   15 | 45
   45 |    1 |   45 | 45
   46 |    1 |    2 | 46
   46 |    1 |   23 | 46
   46 |    1 |   46 | 46
   47 |    1 |   47 | 47
   48 |    1 |    2 | 48
   48 |    1 |    3 | 48
   48 |    1 |    4 | 48
   48 |    1 |    6 | 48
   48 |    1 |    8 | 48
   48 |    1 |   12 | 48
   48 |    1 |   16 | 48
   48 |    1 |   24 | 48
   48 |    1 |   48 | 48
   49 |    1 |    7 | 49
   49 |    1 |   49 | 49
    1 |    2 |    2 | 2
    3 |    2 |    2 | 6
    3 |    2 |    3 | 6
    4 |    2 |    2 | 4
    5 |    2 |    2 | 10
    5 |    2 |    5 | 10
    7 |    2 |    2 | 14
    7 |    2 |    7 | 14
    9 |    2 |    2 | 18
    9 |    2 |    3 | 18
    9 |    2 |    9 | 18
   11 |    2 |    2 | 22
   11 |    2 |   11 | 22
   12 |    2 |    2 | 12
   13 |    2 |    2 | 26
   13 |    2 |   13 | 26
   15 |    2 |    2 | 30
   15 |    2 |    3 | 30
   15 |    2 |    5 | 30
   15 |    2 |   15 | 30
   16 |    2 |    2 | 16
   17 |    2 |    2 | 34
   17 |    2 |   17 | 34
   18 |    2 |    3 | 18
   19 |    2 |    2 | 38
   19 |    2 |   19 | 38
   21 |    2 |    2 | 42
   21 |    2 |    3 | 42
   21 |    2 |    7 | 42
   21 |    2 |   21 | 42
   23 |    2 |    2 | 46
   23 |    2 |   23 | 46
   25 |    2 |    2 | 50
   25 |    2 |    5 | 50
   25 |    2 |   25 | 50
   27 |    2 |    2 | 54
   27 |    2 |    3 | 54
   27 |    2 |    9 | 54
   27 |    2 |   27 | 54
   29 |    2 |    2 | 58
   29 |    2 |   29 | 58
   31 |    2 |    2 | 62
   31 |    2 |   31 | 62
   33 |    2 |    2 | 66
   33 |    2 |    3 | 66
   33 |    2 |   11 | 66
   33 |    2 |   33 | 66
   35 |    2 |    2 | 70
   35 |    2 |    5 | 70
   35 |    2 |    7 | 70
   35 |    2 |   35 | 70
   37 |    2 |    2 | 74
   37 |    2 |   37 | 74
   39 |    2 |    2 | 78
   39 |    2 |    3 | 78
   39 |    2 |   13 | 78
   39 |    2 |   39 | 78
   41 |    2 |    2 | 82
   41 |    2 |   41 | 82
   43 |    2 |    2 | 86
   43 |    2 |   43 | 86
   45 |    2 |    2 | 90
   45 |    2 |    3 | 90
   45 |    2 |    5 | 90
   45 |    2 |    9 | 90
   45 |    2 |   15 | 90
   45 |    2 |   45 | 90
   47 |    2 |    2 | 94
   47 |    2 |   47 | 94
   49 |    2 |    2 | 98
   49 |    2 |    7 | 98
   49 |    2 |   49 | 98
    1 |    3 |    3 | 3
    2 |    3 |    2 | 6
    2 |    3 |    3 | 6
    4 |    3 |    2 | 12
    4 |    3 |    3 | 12
    4 |    3 |    4 | 12
    5 |    3 |    3 | 15
    5 |    3 |    5 | 15
    6 |    3 |    2 | 6
    7 |    3 |    3 | 21
    7 |    3 |    7 | 21
    8 |    3 |    2 | 24
    8 |    3 |    3 | 24
    8 |    3 |    4 | 24
    8 |    3 |    8 | 24
    9 |    3 |    3 | 9
   10 |    3 |    2 | 30
   10 |    3 |    3 | 30
   10 |    3 |    5 | 30
   10 |    3 |   10 | 30
   11 |    3 |    3 | 33
   11 |    3 |   11 | 33
   13 |    3 |    3 | 39
   13 |    3 |   13 | 39
   14 |    3 |    2 | 42
   14 |    3 |    3 | 42
   14 |    3 |    7 | 42
   14 |    3 |   14 | 42
   16 |    3 |    2 | 48
   16 |    3 |    3 | 48
   16 |    3 |    4 | 48
   16 |    3 |    8 | 48
   16 |    3 |   16 | 48
   17 |    3 |    3 | 51
   17 |    3 |   17 | 51
   19 |    3 |    3 | 57
   19 |    3 |   19 | 57
   20 |    3 |    2 | 60
   20 |    3 |    3 | 60
   20 |    3 |    4 | 60
   20 |    3 |    5 | 60
   20 |    3 |   10 | 60
   20 |    3 |   20 | 60
   21 |    3 |    3 | 21
   22 |    3 |    2 | 66
   22 |    3 |    3 | 66
   22 |    3 |   11 | 66
   22 |    3 |   22 | 66
   23 |    3 |    3 | 69
   23 |    3 |   23 | 69
   25 |    3 |    3 | 75
   25 |    3 |    5 | 75
   25 |    3 |   25 | 75
   26 |    3 |    2 | 78
   26 |    3 |    3 | 78
   26 |    3 |   13 | 78
   26 |    3 |   26 | 78
   28 |    3 |    2 | 84
   28 |    3 |    3 | 84
   28 |    3 |    4 | 84
   28 |    3 |    7 | 84
   28 |    3 |   14 | 84
   28 |    3 |   28 | 84
   29 |    3 |    3 | 87
   29 |    3 |   29 | 87
   31 |    3 |    3 | 93
   31 |    3 |   31 | 93
   32 |    3 |    2 | 96
   32 |    3 |    3 | 96
   32 |    3 |    4 | 96
   32 |    3 |    8 | 96
   32 |    3 |   16 | 96
   32 |    3 |   32 | 96
   34 |    3 |    2 | 102
   34 |    3 |    3 | 102
   34 |    3 |   17 | 102
   34 |    3 |   34 | 102
   35 |    3 |    3 | 105
   35 |    3 |    5 | 105
   35 |    3 |    7 | 105
   35 |    3 |   35 | 105
   36 |    3 |    3 | 36
   37 |    3 |    3 | 111
   37 |    3 |   37 | 111
   38 |    3 |    2 | 114
   38 |    3 |    3 | 114
   38 |    3 |   19 | 114
   38 |    3 |   38 | 114
   40 |    3 |    2 | 120
   40 |    3 |    3 | 120
   40 |    3 |    4 | 120
   40 |    3 |    5 | 120
   40 |    3 |    8 | 120
   40 |    3 |   10 | 120
   40 |    3 |   20 | 120
   40 |    3 |   40 | 120
   41 |    3 |    3 | 123
   41 |    3 |   41 | 123
   43 |    3 |    3 | 129
   43 |    3 |   43 | 129
   44 |    3 |    2 | 132
   44 |    3 |    3 | 132
   44 |    3 |    4 | 132
   44 |    3 |   11 | 132
   44 |    3 |   22 | 132
   44 |    3 |   44 | 132
   46 |    3 |    2 | 138
   46 |    3 |    3 | 138
   46 |    3 |   23 | 138
   46 |    3 |   46 | 138
   47 |    3 |    3 | 141
   47 |    3 |   47 | 141
   48 |    3 |    2 | 48
   49 |    3 |    3 | 147
   49 |    3 |    7 | 147
   49 |    3 |   49 | 147
    1 |    4 |    2 | 4
    1 |    4 |    4 | 4
    2 |    4 |    2 | 4
    3 |    4 |    2 | 12
    3 |    4 |    3 | 12
    3 |    4 |    4 | 12
    4 |    4 |    2 | 4
    5 |    4 |    2 | 20
    5 |    4 |    4 | 20
    5 |    4 |    5 | 20
    7 |    4 |    2 | 28
    7 |    4 |    4 | 28
    7 |    4 |    7 | 28
    8 |    4 |    2 | 8
    9 |    4 |    2 | 36
    9 |    4 |    3 | 36
    9 |    4 |    4 | 36
    9 |    4 |    9 | 36
   11 |    4 |    2 | 44
   11 |    4 |    4 | 44
   11 |    4 |   11 | 44
   13 |    4 |    2 | 52
   13 |    4 |    4 | 52
   13 |    4 |   13 | 52
   15 |    4 |    2 | 60
   15 |    4 |    3 | 60
   15 |    4 |    4 | 60
   15 |    4 |    5 | 60
   15 |    4 |   15 | 60
   17 |    4 |    2 | 68
   17 |    4 |    4 | 68
   17 |    4 |   17 | 68
   18 |    4 |    2 | 36
   18 |    4 |    3 | 36
   19 |    4 |    2 | 76
   19 |    4 |    4 | 76
   19 |    4 |   19 | 76
   20 |    4 |    2 | 20
   21 |    4 |    2 | 84
   21 |    4 |    3 | 84
   21 |    4 |    4 | 84
   21 |    4 |    7 | 84
   21 |    4 |   21 | 84
   23 |    4 |    2 | 92
   23 |    4 |    4 | 92
   23 |    4 |   23 | 92
   24 |    4 |    2 | 24
   25 |    4 |    2 | 100
   25 |    4 |    4 | 100
   25 |    4 |    5 | 100
   25 |    4 |   25 | 100
   27 |    4 |    2 | 108
   27 |    4 |    3 | 108
   27 |    4 |    4 | 108
   27 |    4 |    9 | 108
   27 |    4 |   27 | 108
   28 |    4 |    2 | 28
   29 |    4 |    2 | 116
   29 |    4 |    4 | 116
   29 |    4 |   29 | 116
   30 |    4 |    2 | 60
   31 |    4 |    2 | 124
   31 |    4 |    4 | 124
   31 |    4 |   31 | 124
   33 |    4 |    2 | 132
   33 |    4 |    3 | 132
   33 |    4 |    4 | 132
   33 |    4 |   11 | 132
   33 |    4 |   33 | 132
   34 |    4 |    2 | 68
   35 |    4 |    2 | 140
   35 |    4 |    4 | 140
   35 |    4 |    5 | 140
   35 |    4 |    7 | 140
   35 |    4 |   35 | 140
   37 |    4 |    2 | 148
   37 |    4 |    4 | 148
   37 |    4 |   37 | 148
   38 |    4 |    2 | 76
   39 |    4 |    2 | 156
   39 |    4 |    3 | 156
   39 |    4 |    4 | 156
   39 |    4 |   13 | 156
   39 |    4 |   39 | 156
   41 |    4 |    2 | 164
   41 |    4 |    4 | 164
   41 |    4 |   41 | 164
   42 |    4 |    2 | 84
   43 |    4 |    2 | 172
   43 |    4 |    4 | 172
   43 |    4 |   43 | 172
   45 |    4 |    2 | 180
   45 |    4 |    3 | 180
   45 |    4 |    4 | 180
   45 |    4 |    5 | 180
   45 |    4 |    9 | 180
   45 |    4 |   15 | 180
   45 |    4 |   45 | 180
   46 |    4 |    2 | 92
   47 |    4 |    2 | 188
   47 |    4 |    4 | 188
   47 |    4 |   47 | 188
   49 |    4 |    2 | 196
   49 |    4 |    4 | 196
   49 |    4 |    7 | 196
   49 |    4 |   49 | 196
    1 |    5 |    5 | 5
    2 |    5 |    2 | 10
    2 |    5 |    5 | 10
    3 |    5 |    3 | 15
    3 |    5 |    5 | 15
    4 |    5 |    2 | 20
    4 |    5 |    4 | 20
    4 |    5 |    5 | 20
    6 |    5 |    2 | 30
    6 |    5 |    3 | 30
    6 |    5 |    5 | 30
    6 |    5 |    6 | 30
    7 |    5 |    5 | 35
    7 |    5 |    7 | 35
    8 |    5 |    2 | 40
    8 |    5 |    4 | 40
    8 |    5 |    5 | 40
    8 |    5 |    8 | 40
    9 |    5 |    3 | 45
    9 |    5 |    5 | 45
    9 |    5 |    9 | 45
   10 |    5 |    2 | 10
   10 |    5 |    5 | 10
   11 |    5 |    5 | 55
   11 |    5 |   11 | 55
   12 |    5 |    2 | 60
   12 |    5 |    3 | 60
   12 |    5 |    4 | 60
   12 |    5 |    5 | 60
   12 |    5 |    6 | 60
   12 |    5 |   12 | 60
   13 |    5 |    5 | 65
   13 |    5 |   13 | 65
   14 |    5 |    2 | 70
   14 |    5 |    5 | 70
   14 |    5 |    7 | 70
   14 |    5 |   14 | 70
   16 |    5 |    2 | 80
   16 |    5 |    4 | 80
   16 |    5 |    5 | 80
   16 |    5 |    8 | 80
   16 |    5 |   16 | 80
   17 |    5 |    5 | 85
   17 |    5 |   17 | 85
   18 |    5 |    2 | 90
   18 |    5 |    3 | 90
   18 |    5 |    5 | 90
   18 |    5 |    6 | 90
   18 |    5 |    9 | 90
   18 |    5 |   18 | 90
   19 |    5 |    5 | 95
   19 |    5 |   19 | 95
   20 |    5 |    2 | 20
   21 |    5 |    3 | 105
   21 |    5 |    5 | 105
   21 |    5 |    7 | 105
   21 |    5 |   21 | 105
   22 |    5 |    2 | 110
   22 |    5 |    5 | 110
   22 |    5 |   11 | 110
   22 |    5 |   22 | 110
   23 |    5 |    5 | 115
   23 |    5 |   23 | 115
   24 |    5 |    2 | 120
   24 |    5 |    3 | 120
   24 |    5 |    4 | 120
   24 |    5 |    5 | 120
   24 |    5 |    6 | 120
   24 |    5 |    8 | 120
   24 |    5 |   12 | 120
   24 |    5 |   24 | 120
   26 |    5 |    2 | 130
   26 |    5 |    5 | 130
   26 |    5 |   13 | 130
   26 |    5 |   26 | 130
   27 |    5 |    3 | 135
   27 |    5 |    5 | 135
   27 |    5 |    9 | 135
   27 |    5 |   27 | 135
   28 |    5 |    2 | 140
   28 |    5 |    4 | 140
   28 |    5 |    5 | 140
   28 |    5 |    7 | 140
   28 |    5 |   14 | 140
   28 |    5 |   28 | 140
   29 |    5 |    5 | 145
   29 |    5 |   29 | 145
   31 |    5 |    5 | 155
   31 |    5 |   31 | 155
   32 |    5 |    2 | 160
   32 |    5 |    4 | 160
   32 |    5 |    5 | 160
   32 |    5 |    8 | 160
   32 |    5 |   16 | 160
   32 |    5 |   32 | 160
   33 |    5 |    3 | 165
   33 |    5 |    5 | 165
   33 |    5 |   11 | 165
   33 |    5 |   33 | 165
   34 |    5 |    2 | 170
   34 |    5 |    5 | 170
   34 |    5 |   17 | 170
   34 |    5 |   34 | 170
   36 |    5 |    2 | 180
   36 |    5 |    3 | 180
   36 |    5 |    4 | 180
   36 |    5 |    5 | 180
   36 |    5 |    6 | 180
   36 |    5 |    9 | 180
   36 |    5 |   12 | 180
   36 |    5 |   18 | 180
   36 |    5 |   36 | 180
   37 |    5 |    5 | 185
   37 |    5 |   37 | 185
   38 |    5 |    2 | 190
   38 |    5 |    5 | 190
   38 |    5 |   19 | 190
   38 |    5 |   38 | 190
   39 |    5 |    3 | 195
   39 |    5 |    5 | 195
   39 |    5 |   13 | 195
   39 |    5 |   39 | 195
   41 |    5 |    5 | 205
   41 |    5 |   41 | 205
   42 |    5 |    2 | 210
   42 |    5 |    3 | 210
   42 |    5 |    5 | 210
   42 |    5 |    6 | 210
   42 |    5 |    7 | 210
   42 |    5 |   14 | 210
   42 |    5 |   21 | 210
   42 |    5 |   42 | 210
   43 |    5 |    5 | 215
   43 |    5 |   43 | 215
   44 |    5 |    2 | 220
   44 |    5 |    4 | 220
   44 |    5 |    5 | 220
   44 |    5 |   11 | 220
   44 |    5 |   22 | 220
   44 |    5 |   44 | 220
   46 |    5 |    2 | 230
   46 |    5 |    5 | 230
   46 |    5 |   23 | 230
   46 |    5 |   46 | 230
   47 |    5 |    5 | 235
   47 |    5 |   47 | 235
   48 |    5 |    2 | 240
   48 |    5 |    3 | 240
   48 |    5 |    4 | 240
   48 |    5 |    5 | 240
   48 |    5 |    6 | 240
   48 |    5 |    8 | 240
   48 |    5 |   12 | 240
   48 |    5 |   16 | 240
   48 |    5 |   24 | 240
   48 |    5 |   48 | 240
   49 |    5 |    5 | 245
   49 |    5 |    7 | 245
   49 |    5 |   49 | 245
    1 |    6 |    2 | 6
    1 |    6 |    3 | 6
    1 |    6 |    6 | 6
    3 |    6 |    2 | 6
    4 |    6 |    2 | 12
    5 |    6 |    2 | 30
    5 |    6 |    3 | 30
    5 |    6 |    5 | 30
    5 |    6 |    6 | 30
    7 |    6 |    2 | 42
    7 |    6 |    3 | 42
    7 |    6 |    6 | 42
    7 |    6 |    7 | 42
    8 |    6 |    2 | 24
    9 |    6 |    2 | 18
   10 |    6 |    3 | 30
   11 |    6 |    2 | 66
   11 |    6 |    3 | 66
   11 |    6 |    6 | 66
   11 |    6 |   11 | 66
   12 |    6 |    2 | 12
   13 |    6 |    2 | 78
   13 |    6 |    3 | 78
   13 |    6 |    6 | 78
   13 |    6 |   13 | 78
   15 |    6 |    2 | 30
   16 |    6 |    2 | 48
   16 |    6 |    3 | 48
   17 |    6 |    2 | 102
   17 |    6 |    3 | 102
   17 |    6 |    6 | 102
   17 |    6 |   17 | 102
   19 |    6 |    2 | 114
   19 |    6 |    3 | 114
   19 |    6 |    6 | 114
   19 |    6 |   19 | 114
   21 |    6 |    3 | 42
   23 |    6 |    2 | 138
   23 |    6 |    3 | 138
   23 |    6 |    6 | 138
   23 |    6 |   23 | 138
   24 |    6 |    2 | 24
   25 |    6 |    2 | 150
   25 |    6 |    3 | 150
   25 |    6 |    5 | 150
   25 |    6 |    6 | 150
   25 |    6 |   25 | 150
   27 |    6 |    2 | 54
   29 |    6 |    2 | 174
   29 |    6 |    3 | 174
   29 |    6 |    6 | 174
   29 |    6 |   29 | 174
   31 |    6 |    2 | 186
   31 |    6 |    3 | 186
   31 |    6 |    6 | 186
   31 |    6 |   31 | 186
   32 |    6 |    2 | 96
   35 |    6 |    2 | 210
   35 |    6 |    3 | 210
   35 |    6 |    5 | 210
   35 |    6 |    6 | 210
   35 |    6 |    7 | 210
   35 |    6 |   35 | 210
   37 |    6 |    2 | 222
   37 |    6 |    3 | 222
   37 |    6 |    6 | 222
   37 |    6 |   37 | 222
   39 |    6 |    2 | 78
   40 |    6 |    3 | 120
   41 |    6 |    2 | 246
   41 |    6 |    3 | 246
   41 |    6 |    6 | 246
   41 |    6 |   41 | 246
   43 |    6 |    2 | 258
   43 |    6 |    3 | 258
   43 |    6 |    6 | 258
   43 |    6 |   43 | 258
   45 |    6 |    2 | 90
   47 |    6 |    2 | 282
   47 |    6 |    3 | 282
   47 |    6 |    6 | 282
   47 |    6 |   47 | 282
   48 |    6 |    2 | 48
   49 |    6 |    2 | 294
   49 |    6 |    3 | 294
   49 |    6 |    6 | 294
   49 |    6 |    7 | 294
   49 |    6 |   49 | 294
    1 |    7 |    7 | 7
    2 |    7 |    2 | 14
    2 |    7 |    7 | 14
    3 |    7 |    3 | 21
    3 |    7 |    7 | 21
    4 |    7 |    2 | 28
    4 |    7 |    4 | 28
    4 |    7 |    7 | 28
    5 |    7 |    5 | 35
    5 |    7 |    7 | 35
    6 |    7 |    2 | 42
    6 |    7 |    3 | 42
    6 |    7 |    6 | 42
    6 |    7 |    7 | 42
    8 |    7 |    2 | 56
    8 |    7 |    4 | 56
    8 |    7 |    7 | 56
    8 |    7 |    8 | 56
    9 |    7 |    3 | 63
    9 |    7 |    7 | 63
    9 |    7 |    9 | 63
   10 |    7 |    2 | 70
   10 |    7 |    5 | 70
   10 |    7 |    7 | 70
   10 |    7 |   10 | 70
   11 |    7 |    7 | 77
   11 |    7 |   11 | 77
   12 |    7 |    2 | 84
   12 |    7 |    3 | 84
   12 |    7 |    4 | 84
   12 |    7 |    6 | 84
   12 |    7 |    7 | 84
   12 |    7 |   12 | 84
   13 |    7 |    7 | 91
   13 |    7 |   13 | 91
   14 |    7 |    2 | 14
   15 |    7 |    3 | 105
   15 |    7 |    5 | 105
   15 |    7 |    7 | 105
   15 |    7 |   15 | 105
   16 |    7 |    2 | 112
   16 |    7 |    4 | 112
   16 |    7 |    7 | 112
   16 |    7 |    8 | 112
   16 |    7 |   16 | 112
   17 |    7 |    7 | 119
   17 |    7 |   17 | 119
   18 |    7 |    2 | 126
   18 |    7 |    3 | 126
   18 |    7 |    6 | 126
   18 |    7 |    7 | 126
   18 |    7 |    9 | 126
   18 |    7 |   18 | 126
   19 |    7 |    7 | 133
   19 |    7 |   19 | 133
   20 |    7 |    2 | 140
   20 |    7 |    4 | 140
   20 |    7 |    5 | 140
   20 |    7 |    7 | 140
   20 |    7 |   10 | 140
   20 |    7 |   20 | 140
   22 |    7 |    2 | 154
   22 |    7 |    7 | 154
   22 |    7 |   11 | 154
   22 |    7 |   22 | 154
   23 |    7 |    7 | 161
   23 |    7 |   23 | 161
   24 |    7 |    2 | 168
   24 |    7 |    3 | 168
   24 |    7 |    4 | 168
   24 |    7 |    6 | 168
   24 |    7 |    7 | 168
   24 |    7 |    8 | 168
   24 |    7 |   12 | 168
   24 |    7 |   24 | 168
   25 |    7 |    5 | 175
   25 |    7 |    7 | 175
   25 |    7 |   25 | 175
   26 |    7 |    2 | 182
   26 |    7 |    7 | 182
   26 |    7 |   13 | 182
   26 |    7 |   26 | 182
   27 |    7 |    3 | 189
   27 |    7 |    7 | 189
   27 |    7 |    9 | 189
   27 |    7 |   27 | 189
   29 |    7 |    7 | 203
   29 |    7 |   29 | 203
   30 |    7 |    2 | 210
   30 |    7 |    3 | 210
   30 |    7 |    5 | 210
   30 |    7 |    6 | 210
   30 |    7 |    7 | 210
   30 |    7 |   10 | 210
   30 |    7 |   15 | 210
   30 |    7 |   30 | 210
   31 |    7 |    7 | 217
   31 |    7 |   31 | 217
   32 |    7 |    2 | 224
   32 |    7 |    4 | 224
   32 |    7 |    7 | 224
   32 |    7 |    8 | 224
   32 |    7 |   16 | 224
   32 |    7 |   32 | 224
   33 |    7 |    3 | 231
   33 |    7 |    7 | 231
   33 |    7 |   11 | 231
   33 |    7 |   33 | 231
   34 |    7 |    2 | 238
   34 |    7 |    7 | 238
   34 |    7 |   17 | 238
   34 |    7 |   34 | 238
   36 |    7 |    2 | 252
   36 |    7 |    3 | 252
   36 |    7 |    4 | 252
   36 |    7 |    6 | 252
   36 |    7 |    7 | 252
   36 |    7 |    9 | 252
   36 |    7 |   12 | 252
   36 |    7 |   18 | 252
   36 |    7 |   36 | 252
   37 |    7 |    7 | 259
   37 |    7 |   37 | 259
   38 |    7 |    2 | 266
   38 |    7 |    7 | 266
   38 |    7 |   19 | 266
   38 |    7 |   38 | 266
   39 |    7 |    3 | 273
   39 |    7 |    7 | 273
   39 |    7 |   13 | 273
   39 |    7 |   39 | 273
   40 |    7 |    2 | 280
   40 |    7 |    4 | 280
   40 |    7 |    5 | 280
   40 |    7 |    7 | 280
   40 |    7 |    8 | 280
   40 |    7 |   10 | 280
   40 |    7 |   20 | 280
   40 |    7 |   40 | 280
   41 |    7 |    7 | 287
   41 |    7 |   41 | 287
   43 |    7 |    7 | 301
   43 |    7 |   43 | 301
   44 |    7 |    2 | 308
   44 |    7 |    4 | 308
   44 |    7 |    7 | 308
   44 |    7 |   11 | 308
   44 |    7 |   22 | 308
   44 |    7 |   44 | 308
   45 |    7 |    3 | 315
   45 |    7 |    5 | 315
   45 |    7 |    7 | 315
   45 |    7 |    9 | 315
   45 |    7 |   15 | 315
   45 |    7 |   45 | 315
   46 |    7 |    2 | 322
   46 |    7 |    7 | 322
   46 |    7 |   23 | 322
   46 |    7 |   46 | 322
   47 |    7 |    7 | 329
   47 |    7 |   47 | 329
   48 |    7 |    2 | 336
   48 |    7 |    3 | 336
   48 |    7 |    4 | 336
   48 |    7 |    6 | 336
   48 |    7 |    7 | 336
   48 |    7 |    8 | 336
   48 |    7 |   12 | 336
   48 |    7 |   16 | 336
   48 |    7 |   24 | 336
   48 |    7 |   48 | 336
    1 |    8 |    2 | 8
    1 |    8 |    4 | 8
    1 |    8 |    8 | 8
    2 |    8 |    2 | 8
    3 |    8 |    2 | 24
    3 |    8 |    3 | 24
    3 |    8 |    4 | 24
    3 |    8 |    8 | 24
    5 |    8 |    2 | 40
    5 |    8 |    4 | 40
    5 |    8 |    5 | 40
    5 |    8 |    8 | 40
    7 |    8 |    2 | 56
    7 |    8 |    4 | 56
    7 |    8 |    7 | 56
    7 |    8 |    8 | 56
    8 |    8 |    2 | 8
    8 |    8 |    4 | 8
    9 |    8 |    2 | 72
    9 |    8 |    3 | 72
    9 |    8 |    4 | 72
    9 |    8 |    8 | 72
    9 |    8 |    9 | 72
   10 |    8 |    2 | 40
   10 |    8 |    4 | 40
   11 |    8 |    2 | 88
   11 |    8 |    4 | 88
   11 |    8 |    8 | 88
   11 |    8 |   11 | 88
   13 |    8 |    2 | 104
   13 |    8 |    4 | 104
   13 |    8 |    8 | 104
   13 |    8 |   13 | 104
   15 |    8 |    2 | 120
   15 |    8 |    3 | 120
   15 |    8 |    4 | 120
   15 |    8 |    5 | 120
   15 |    8 |    8 | 120
   15 |    8 |   15 | 120
   17 |    8 |    2 | 136
   17 |    8 |    4 | 136
   17 |    8 |    8 | 136
   17 |    8 |   17 | 136
   19 |    8 |    2 | 152
   19 |    8 |    4 | 152
   19 |    8 |    8 | 152
   19 |    8 |   19 | 152
   21 |    8 |    2 | 168
   21 |    8 |    3 | 168
   21 |    8 |    4 | 168
   21 |    8 |    7 | 168
   21 |    8 |    8 | 168
   21 |    8 |   21 | 168
   23 |    8 |    2 | 184
   23 |    8 |    4 | 184
   23 |    8 |    8 | 184
   23 |    8 |   23 | 184
   24 |    8 |    3 | 24
   25 |    8 |    2 | 200
   25 |    8 |    4 | 200
   25 |    8 |    5 | 200
   25 |    8 |    8 | 200
   25 |    8 |   25 | 200
   26 |    8 |    2 | 104
   27 |    8 |    2 | 216
   27 |    8 |    3 | 216
